name,code,province_code,region_code,psgc
ADAMS,012801,0128,01,012801000
BACARRA,012802,0128,01,012802000
BADOC,012803,0128,01,012803000
BANGUI,012804,0128,01,012804000
"CITY OF BATAC",012805,0128,01,012805000
BURGOS,012806,0128,01,012806000
CARASI,012807,0128,01,012807000
CURRIMAO,012808,0128,01,012808000
DINGRAS,012809,0128,01,012809000
DUMALNEG,012810,0128,01,012810000
"BANNA (ESPIRITU)",012811,0128,01,012811000
"LAOAG CITY (Capital)",012812,0128,01,012812000
MARCOS,012813,0128,01,012813000
"NUEVA ERA",012814,0128,01,012814000
PAGUDPUD,012815,0128,01,012815000
PAOAY,012816,0128,01,012816000
PASUQUIN,012817,0128,01,012817000
PIDDIG,012818,0128,01,012818000
PINILI,012819,0128,01,012819000
"SAN NICOLAS",012820,0128,01,012820000
SARRAT,012821,0128,01,012821000
SOLSONA,012822,0128,01,012822000
VINTAR,012823,0128,01,012823000
ALILEM,012901,0129,01,012901000
BANAYOYO,012902,0129,01,012902000
BANTAY,012903,0129,01,012903000
BURGOS,012904,0129,01,012904000
CABUGAO,012905,0129,01,012905000
"CITY OF CANDON",012906,0129,01,012906000
CAOAYAN,012907,0129,01,012907000
CERVANTES,012908,0129,01,012908000
GALIMUYOD,012909,0129,01,012909000
"GREGORIO DEL PILAR (CONCEPCION)",012910,0129,01,012910000
LIDLIDDA,012911,0129,01,012911000
MAGSINGAL,012912,0129,01,012912000
NAGBUKEL,012913,0129,01,012913000
NARVACAN,012914,0129,01,012914000
"QUIRINO (ANGKAKI)",012915,0129,01,012915000
"SALCEDO (BAUGEN)",012916,0129,01,012916000
"SAN EMILIO",012917,0129,01,012917000
"SAN ESTEBAN",012918,0129,01,012918000
"SAN ILDEFONSO",012919,0129,01,012919000
"SAN JUAN (LAPOG)",012920,0129,01,012920000
"SAN VICENTE",012921,0129,01,012921000
SANTA,012922,0129,01,012922000
"SANTA CATALINA",012923,0129,01,012923000
"SANTA CRUZ",012924,0129,01,012924000
"SANTA LUCIA",012925,0129,01,012925000
"SANTA MARIA",012926,0129,01,012926000
SANTIAGO,012927,0129,01,012927000
"SANTO DOMINGO",012928,0129,01,012928000
SIGAY,012929,0129,01,012929000
SINAIT,012930,0129,01,012930000
SUGPON,012931,0129,01,012931000
SUYO,012932,0129,01,012932000
TAGUDIN,012933,0129,01,012933000
"CITY OF VIGAN (Capital)",012934,0129,01,012934000
AGOO,013301,0133,01,013301000
ARINGAY,013302,0133,01,013302000
BACNOTAN,013303,0133,01,013303000
BAGULIN,013304,0133,01,013304000
BALAOAN,013305,0133,01,013305000
BANGAR,013306,0133,01,013306000
BAUANG,013307,0133,01,013307000
BURGOS,013308,0133,01,013308000
CABA,013309,0133,01,013309000
LUNA,013310,0133,01,013310000
NAGUILIAN,013311,0133,01,013311000
PUGO,013312,0133,01,013312000
ROSARIO,013313,0133,01,013313000
"CITY OF SAN FERNANDO (Capital)",013314,0133,01,013314000
"SAN GABRIEL",013315,0133,01,013315000
"SAN JUAN",013316,0133,01,013316000
"SANTO TOMAS",013317,0133,01,013317000
SANTOL,013318,0133,01,013318000
SUDIPEN,013319,0133,01,013319000
TUBAO,013320,0133,01,013320000
AGNO,015501,0155,01,015501000
AGUILAR,015502,0155,01,015502000
"CITY OF ALAMINOS",015503,0155,01,015503000
ALCALA,015504,0155,01,015504000
ANDA,015505,0155,01,015505000
ASINGAN,015506,0155,01,015506000
BALUNGAO,015507,0155,01,015507000
BANI,015508,0155,01,015508000
BASISTA,015509,0155,01,015509000
BAUTISTA,015510,0155,01,015510000
BAYAMBANG,015511,0155,01,015511000
BINALONAN,015512,0155,01,015512000
BINMALEY,015513,0155,01,015513000
BOLINAO,015514,0155,01,015514000
BUGALLON,015515,0155,01,015515000
BURGOS,015516,0155,01,015516000
CALASIAO,015517,0155,01,015517000
"DAGUPAN CITY",015518,0155,01,015518000
DASOL,015519,0155,01,015519000
INFANTA,015520,0155,01,015520000
LABRADOR,015521,0155,01,015521000
"LINGAYEN (Capital)",015522,0155,01,015522000
MABINI,015523,0155,01,015523000
MALASIQUI,015524,0155,01,015524000
MANAOAG,015525,0155,01,015525000
MANGALDAN,015526,0155,01,015526000
MANGATAREM,015527,0155,01,015527000
MAPANDAN,015528,0155,01,015528000
NATIVIDAD,015529,0155,01,015529000
POZORRUBIO,015530,0155,01,015530000
ROSALES,015531,0155,01,015531000
"SAN CARLOS CITY",015532,0155,01,015532000
"SAN FABIAN",015533,0155,01,015533000
"SAN JACINTO",015534,0155,01,015534000
"SAN MANUEL",015535,0155,01,015535000
"SAN NICOLAS",015536,0155,01,015536000
"SAN QUINTIN",015537,0155,01,015537000
"SANTA BARBARA",015538,0155,01,015538000
"SANTA MARIA",015539,0155,01,015539000
"SANTO TOMAS",015540,0155,01,015540000
SISON,015541,0155,01,015541000
SUAL,015542,0155,01,015542000
TAYUG,015543,0155,01,015543000
UMINGAN,015544,0155,01,015544000
URBIZTONDO,015545,0155,01,015545000
"CITY OF URDANETA",015546,0155,01,015546000
VILLASIS,015547,0155,01,015547000
LAOAC,015548,0155,01,015548000
"BASCO (Capital)",020901,0209,02,020901000
ITBAYAT,020902,0209,02,020902000
IVANA,020903,0209,02,020903000
MAHATAO,020904,0209,02,020904000
SABTANG,020905,0209,02,020905000
UYUGAN,020906,0209,02,020906000
ABULUG,021501,0215,02,021501000
ALCALA,021502,0215,02,021502000
ALLACAPAN,021503,0215,02,021503000
AMULUNG,021504,0215,02,021504000
APARRI,021505,0215,02,021505000
BAGGAO,021506,0215,02,021506000
BALLESTEROS,021507,0215,02,021507000
BUGUEY,021508,0215,02,021508000
CALAYAN,021509,0215,02,021509000
CAMALANIUGAN,021510,0215,02,021510000
CLAVERIA,021511,0215,02,021511000
ENRILE,021512,0215,02,021512000
GATTARAN,021513,0215,02,021513000
GONZAGA,021514,0215,02,021514000
IGUIG,021515,0215,02,021515000
LAL-LO,021516,0215,02,021516000
LASAM,021517,0215,02,021517000
PAMPLONA,021518,0215,02,021518000
PEÑABLANCA,021519,0215,02,021519000
PIAT,021520,0215,02,021520000
RIZAL,021521,0215,02,021521000
SANCHEZ-MIRA,021522,0215,02,021522000
"SANTA ANA",021523,0215,02,021523000
"SANTA PRAXEDES",021524,0215,02,021524000
"SANTA TERESITA",021525,0215,02,021525000
"SANTO NIÑO (FAIRE)",021526,0215,02,021526000
SOLANA,021527,0215,02,021527000
TUAO,021528,0215,02,021528000
"TUGUEGARAO CITY (Capital)",021529,0215,02,021529000
ALICIA,023101,0231,02,023101000
ANGADANAN,023102,0231,02,023102000
AURORA,023103,0231,02,023103000
"BENITO SOLIVEN",023104,0231,02,023104000
BURGOS,023105,0231,02,023105000
CABAGAN,023106,0231,02,023106000
CABATUAN,023107,0231,02,023107000
"CITY OF CAUAYAN",023108,0231,02,023108000
CORDON,023109,0231,02,023109000
DINAPIGUE,023110,0231,02,023110000
DIVILACAN,023111,0231,02,023111000
ECHAGUE,023112,0231,02,023112000
GAMU,023113,0231,02,023113000
"ILAGAN CITY (Capital)",023114,0231,02,023114000
JONES,023115,0231,02,023115000
LUNA,023116,0231,02,023116000
MACONACON,023117,0231,02,023117000
"DELFIN ALBANO (MAGSAYSAY)",023118,0231,02,023118000
MALLIG,023119,0231,02,023119000
NAGUILIAN,023120,0231,02,023120000
PALANAN,023121,0231,02,023121000
QUEZON,023122,0231,02,023122000
QUIRINO,023123,0231,02,023123000
RAMON,023124,0231,02,023124000
"REINA MERCEDES",023125,0231,02,023125000
ROXAS,023126,0231,02,023126000
"SAN AGUSTIN",023127,0231,02,023127000
"SAN GUILLERMO",023128,0231,02,023128000
"SAN ISIDRO",023129,0231,02,023129000
"SAN MANUEL",023130,0231,02,023130000
"SAN MARIANO",023131,0231,02,023131000
"SAN MATEO",023132,0231,02,023132000
"SAN PABLO",023133,0231,02,023133000
"SANTA MARIA",023134,0231,02,023134000
"CITY OF SANTIAGO",023135,0231,02,023135000
"SANTO TOMAS",023136,0231,02,023136000
TUMAUINI,023137,0231,02,023137000
AMBAGUIO,025001,0250,02,025001000
ARITAO,025002,0250,02,025002000
BAGABAG,025003,0250,02,025003000
BAMBANG,025004,0250,02,025004000
"BAYOMBONG (Capital)",025005,0250,02,025005000
DIADI,025006,0250,02,025006000
"DUPAX DEL NORTE",025007,0250,02,025007000
"DUPAX DEL SUR",025008,0250,02,025008000
KASIBU,025009,0250,02,025009000
KAYAPA,025010,0250,02,025010000
QUEZON,025011,0250,02,025011000
"SANTA FE",025012,0250,02,025012000
SOLANO,025013,0250,02,025013000
VILLAVERDE,025014,0250,02,025014000
"ALFONSO CASTANEDA",025015,0250,02,025015000
AGLIPAY,025701,0257,02,025701000
"CABARROGUIS (Capital)",025702,0257,02,025702000
DIFFUN,025703,0257,02,025703000
MADDELA,025704,0257,02,025704000
SAGUDAY,025705,0257,02,025705000
NAGTIPUNAN,025706,0257,02,025706000
ABUCAY,030801,0308,03,030801000
BAGAC,030802,0308,03,030802000
"CITY OF BALANGA (Capital)",030803,0308,03,030803000
DINALUPIHAN,030804,0308,03,030804000
HERMOSA,030805,0308,03,030805000
LIMAY,030806,0308,03,030806000
MARIVELES,030807,0308,03,030807000
MORONG,030808,0308,03,030808000
ORANI,030809,0308,03,030809000
ORION,030810,0308,03,030810000
PILAR,030811,0308,03,030811000
SAMAL,030812,0308,03,030812000
ANGAT,031401,0314,03,031401000
"BALAGTAS (BIGAA)",031402,0314,03,031402000
BALIUAG,031403,0314,03,031403000
BOCAUE,031404,0314,03,031404000
BULACAN,031405,0314,03,031405000
BUSTOS,031406,0314,03,031406000
CALUMPIT,031407,0314,03,031407000
GUIGUINTO,031408,0314,03,031408000
HAGONOY,031409,0314,03,031409000
"CITY OF MALOLOS (Capital)",031410,0314,03,031410000
MARILAO,031411,0314,03,031411000
"CITY OF MEYCAUAYAN",031412,0314,03,031412000
NORZAGARAY,031413,0314,03,031413000
OBANDO,031414,0314,03,031414000
PANDI,031415,0314,03,031415000
PAOMBONG,031416,0314,03,031416000
PLARIDEL,031417,0314,03,031417000
PULILAN,031418,0314,03,031418000
"SAN ILDEFONSO",031419,0314,03,031419000
"CITY OF SAN JOSE DEL MONTE",031420,0314,03,031420000
"SAN MIGUEL",031421,0314,03,031421000
"SAN RAFAEL",031422,0314,03,031422000
"SANTA MARIA",031423,0314,03,031423000
"DOÑA REMEDIOS TRINIDAD",031424,0314,03,031424000
ALIAGA,034901,0349,03,034901000
BONGABON,034902,0349,03,034902000
"CABANATUAN CITY",034903,0349,03,034903000
CABIAO,034904,0349,03,034904000
CARRANGLAN,034905,0349,03,034905000
CUYAPO,034906,0349,03,034906000
"GABALDON (BITULOK & SABANI)",034907,0349,03,034907000
"CITY OF GAPAN",034908,0349,03,034908000
"GENERAL MAMERTO NATIVIDAD",034909,0349,03,034909000
"GENERAL TINIO (PAPAYA)",034910,0349,03,034910000
GUIMBA,034911,0349,03,034911000
JAEN,034912,0349,03,034912000
LAUR,034913,0349,03,034913000
LICAB,034914,0349,03,034914000
LLANERA,034915,0349,03,034915000
LUPAO,034916,0349,03,034916000
"SCIENCE CITY OF MUÑOZ",034917,0349,03,034917000
NAMPICUAN,034918,0349,03,034918000
"PALAYAN CITY (Capital)",034919,0349,03,034919000
PANTABANGAN,034920,0349,03,034920000
PEÑARANDA,034921,0349,03,034921000
QUEZON,034922,0349,03,034922000
RIZAL,034923,0349,03,034923000
"SAN ANTONIO",034924,0349,03,034924000
"SAN ISIDRO",034925,0349,03,034925000
"SAN JOSE CITY",034926,0349,03,034926000
"SAN LEONARDO",034927,0349,03,034927000
"SANTA ROSA",034928,0349,03,034928000
"SANTO DOMINGO",034929,0349,03,034929000
TALAVERA,034930,0349,03,034930000
TALUGTUG,034931,0349,03,034931000
ZARAGOZA,034932,0349,03,034932000
"ANGELES CITY",035401,0354,03,035401000
APALIT,035402,0354,03,035402000
ARAYAT,035403,0354,03,035403000
BACOLOR,035404,0354,03,035404000
CANDABA,035405,0354,03,035405000
FLORIDABLANCA,035406,0354,03,035406000
GUAGUA,035407,0354,03,035407000
LUBAO,035408,0354,03,035408000
"MABALACAT CITY",035409,0354,03,035409000
MACABEBE,035410,0354,03,035410000
MAGALANG,035411,0354,03,035411000
MASANTOL,035412,0354,03,035412000
MEXICO,035413,0354,03,035413000
MINALIN,035414,0354,03,035414000
PORAC,035415,0354,03,035415000
"CITY OF SAN FERNANDO (Capital)",035416,0354,03,035416000
"SAN LUIS",035417,0354,03,035417000
"SAN SIMON",035418,0354,03,035418000
"SANTA ANA",035419,0354,03,035419000
"SANTA RITA",035420,0354,03,035420000
"SANTO TOMAS",035421,0354,03,035421000
"SASMUAN (Sexmoan)",035422,0354,03,035422000
ANAO,036901,0369,03,036901000
BAMBAN,036902,0369,03,036902000
CAMILING,036903,0369,03,036903000
CAPAS,036904,0369,03,036904000
CONCEPCION,036905,0369,03,036905000
GERONA,036906,0369,03,036906000
"LA PAZ",036907,0369,03,036907000
MAYANTOC,036908,0369,03,036908000
MONCADA,036909,0369,03,036909000
